gene_id	switch_sig	visibility_kw	visibility_deseq2	visibility_edger
ENSG00000225855.6	True	visible	visible	visible
ENSG00000225489.6	False	gene_only	gene_only	gene_only
ENSG00000232977.6	False	none	gene_only	gene_only
ENSG00000228863.8	False	gene_only	gene_only	gene_only
ENSG00000228408.6	False	none	gene_only	gene_only
ENSG00000267532.5	True	visible	visible	visible
ENSG00000224699.8	True	visible	visible	visible
ENSG00000272168.6	True	visible	visible	visible
ENSG00000237372.2	True	visible	visible	visible
ENSG00000223414.2	False	gene_only	gene_only	gene_only
ENSG00000227258.5	True	visible	visible	visible
ENSG00000236144.6	False	gene_only	gene_only	gene_only
ENSG00000224318.5	False	none	gene_only	gene_only
ENSG00000244041.7	True	visible	visible	visible
ENSG00000228393.3	True	visible	visible	visible
ENSG00000237943.6	False	gene_only	gene_only	gene_only
ENSG00000229619.3	False	gene_only	gene_only	gene_only
ENSG00000225778.5	False	gene_only	gene_only	gene_only
ENSG00000237310.1	False	gene_only	gene_only	gene_only
ENSG00000234684.6	False	gene_only	none	none
ENSG00000233184.6	False	gene_only	gene_only	gene_only
ENSG00000233178.7	False	gene_only	gene_only	gene_only
ENSG00000237512.6	True	visible	visible	visible
ENSG00000215481.9	False	gene_only	gene_only	gene_only
ENSG00000145063.14	True	silent	visible	visible
ENSG00000234520.5	False	gene_only	gene_only	gene_only
ENSG00000232671.5	False	none	gene_only	gene_only
ENSG00000231133.6	False	gene_only	gene_only	gene_only
ENSG00000163597.14	True	visible	visible	visible
ENSG00000281398.2	False	gene_only	gene_only	gene_only
ENSG00000233527.8	True	visible	visible	visible
ENSG00000229425.2	True	visible	visible	visible
ENSG00000235978.6	True	visible	visible	visible
ENSG00000231113.2	False	gene_only	gene_only	gene_only
ENSG00000227954.6	True	silent	visible	visible
ENSG00000225792.1	False	gene_only	gene_only	gene_only
ENSG00000227165.7	False	none	gene_only	gene_only
ENSG00000229116.2	False	gene_only	gene_only	gene_only
ENSG00000235652.7	False	gene_only	gene_only	gene_only
ENSG00000232354.8	False	none	gene_only	gene_only
ENSG00000234949.2	False	none	gene_only	gene_only
ENSG00000235919.4	False	gene_only	gene_only	gene_only
ENSG00000233396.7	True	visible	visible	visible
ENSG00000227634.2	False	none	gene_only	gene_only
ENSG00000225791.6	False	gene_only	gene_only	gene_only
ENSG00000270604.5	False	none	gene_only	gene_only
ENSG00000227036.6	True	visible	visible	visible
ENSG00000237938.5	False	none	gene_only	gene_only
ENSG00000233006.6	True	visible	visible	visible
ENSG00000225963.7	False	none	gene_only	gene_only
ENSG00000231731.7	False	gene_only	gene_only	gene_only
ENSG00000233672.6	False	gene_only	gene_only	gene_only
ENSG00000225361.3	False	none	gene_only	gene_only
ENSG00000240350.2	False	gene_only	gene_only	gene_only
ENSG00000227455.2	False	none	gene_only	gene_only
ENSG00000235979.8	True	visible	visible	visible
ENSG00000227354.6	False	gene_only	none	none
ENSG00000231856.2	False	gene_only	gene_only	gene_only
ENSG00000228812.7	False	gene_only	gene_only	gene_only
ENSG00000250903.8	False	gene_only	gene_only	gene_only
ENSG00000213904.8	True	visible	visible	visible
ENSG00000235560.3	False	gene_only	gene_only	gene_only
ENSG00000180539.7	False	gene_only	gene_only	gene_only
ENSG00000235531.9	True	visible	visible	visible
ENSG00000225655.5	True	visible	visible	visible
ENSG00000228775.7	False	none	none	none
ENSG00000240086.5	False	none	gene_only	gene_only
ENSG00000271147.7	True	visible	visible	visible
ENSG00000175061.17	True	visible	visible	visible
ENSG00000243176.5	True	visible	visible	visible
ENSG00000241684.5	False	none	gene_only	gene_only
ENSG00000204934.10	False	none	gene_only	gene_only
ENSG00000242808.7	False	gene_only	gene_only	gene_only
ENSG00000197989.13	True	visible	visible	visible
ENSG00000239213.5	False	gene_only	gene_only	gene_only
ENSG00000239445.5	False	gene_only	gene_only	gene_only
ENSG00000267272.5	True	visible	visible	visible
ENSG00000244479.6	False	gene_only	gene_only	gene_only
ENSG00000241163.7	True	silent	visible	visible
ENSG00000241472.6	False	none	gene_only	gene_only
ENSG00000242474.2	False	none	gene_only	gene_only
ENSG00000242516.1	False	gene_only	gene_only	gene_only
ENSG00000239523.5	False	gene_only	gene_only	gene_only
ENSG00000243926.1	False	gene_only	gene_only	gene_only
ENSG00000242428.5	False	gene_only	gene_only	gene_only
ENSG00000240137.5	False	gene_only	gene_only	gene_only
ENSG00000244300.2	False	gene_only	gene_only	gene_only
ENSG00000227733.9	True	visible	visible	visible
