gene_id	n_isoforms	n_valid_tissues	lnc_isi
ENSG00000215447.7	2	8	0.01687492249499653
ENSG00000215483.9	11	2	0.2723469428306611
ENSG00000242349.5	2	3	0.010417802138925961
ENSG00000215859.8	2	4	0.011201170065875512
ENSG00000215866.7	3	4	0.13773364720902223
ENSG00000216895.9	5	9	0.24750068137852874
ENSG00000218416.4	4	3	0.09638964579196319
ENSG00000219665.8	9	9	0.1130845186051298
ENSG00000221819.5	2	2	0.00672045528294226
ENSG00000186235.10	6	5	0.19333076040348252
ENSG00000222020.2	3	9	0.24203602310712835
ENSG00000231742.5	2	8	0.09411461570891716
ENSG00000224429.7	4	4	0.11106783069444177
ENSG00000234494.7	4	9	0.13796678386259964
ENSG00000232442.1	2	9	0.040001299625953946
ENSG00000230387.2	2	2	0.036769512012324146
ENSG00000226950.6	5	9	0.007988011266775279
ENSG00000223745.7	24	9	0.15081645291870666
ENSG00000225331.1	2	6	0.003927245491181114
ENSG00000229956.10	16	5	0.5325068215908534
ENSG00000231170.5	3	6	0.3937079393068177
ENSG00000226644.5	2	2	0.03792510650964717
ENSG00000130600.17	9	4	0.382016372355613
ENSG00000234741.7	29	9	0.10384358023743266
ENSG00000229891.1	3	5	0.05696393631716924
ENSG00000228274.3	4	9	0.14297959130777954
ENSG00000229847.8	6	5	0.053145014199319336
ENSG00000179406.7	8	9	0.09616791126835124
ENSG00000204261.8	6	9	0.07420047444934512
ENSG00000237491.8	14	5	0.2980573114364092
ENSG00000225194.2	3	4	0.06705047296461202
ENSG00000204054.13	18	9	0.09567439844714927
ENSG00000224424.7	3	4	0.0203533251610957
ENSG00000231609.5	3	9	0.0026022815243423878
ENSG00000230091.6	3	4	0.11711782164593261
ENSG00000226308.1	2	3	0.03416263222919025
ENSG00000223949.6	2	6	0.054487469242333025
ENSG00000237950.1	2	2	0.018091360075907937
ENSG00000232931.5	2	8	0.01165043788306557
ENSG00000174403.15	3	4	0.06537920570084643
ENSG00000179935.9	3	4	0.0316953162802789
ENSG00000233895.1	3	4	0.1362513764149452
ENSG00000234546.3	3	2	0.008607511654315517
ENSG00000234899.9	16	7	0.31559982729545344
ENSG00000223969.5	3	9	0.608320053579311
ENSG00000231074.8	15	9	0.23303758752961978
ENSG00000235092.5	4	6	0.11268598737172654
ENSG00000232677.6	8	8	0.13247278253081624
ENSG00000234072.1	3	9	0.012376312896580853
ENSG00000225342.2	2	3	0.014435064094950448
ENSG00000225518.2	2	4	0.0637363379234027
ENSG00000228878.7	3	8	0.08666789096295446
ENSG00000241769.7	11	7	0.1916457719638054
ENSG00000237232.7	3	2	0.01855029977920831
ENSG00000230185.4	4	4	0.22790407621773415
ENSG00000237737.5	6	3	0.10383823918462073
ENSG00000225889.7	4	6	0.11385555105203587
ENSG00000231871.5	3	3	0.0411295978764355
ENSG00000225265.1	3	9	0.0911724016733225
ENSG00000235703.5	7	5	0.34310470689607114
ENSG00000234327.7	4	9	0.025506521300165712
ENSG00000233639.5	5	4	0.24795361112617176
ENSG00000234690.6	5	5	0.11139911659430114
ENSG00000224032.6	4	9	0.014788007669215446
ENSG00000226419.7	6	9	0.14694876931141948
ENSG00000242628.5	3	3	0.1634209792873885
ENSG00000236423.5	3	3	0.2816832058001172
ENSG00000224597.9	12	9	0.2756306621783138
ENSG00000237883.1	3	4	0.00768195511247741
ENSG00000227028.6	18	6	0.8892039484797521
ENSG00000237413.5	2	2	0.00317837260213584
ENSG00000231365.5	6	9	0.28802627626468613
ENSG00000235770.5	6	2	0.05464714445376377
ENSG00000231013.1	2	4	0.018091358213262788
ENSG00000228798.1	2	2	0.0074138902961445475
ENSG00000225206.8	5	2	0.01840757056703559
ENSG00000229043.2	2	9	0.04653718016048958
ENSG00000196756.11	8	9	0.06684741196273371
ENSG00000238276.5	4	2	0.01637578795477873
ENSG00000224272.2	2	4	0.003713635365305647
ENSG00000232973.11	23	6	0.6087575952529336
ENSG00000236830.6	13	9	0.24890839078768484
ENSG00000236859.6	5	9	0.09068672815995046
ENSG00000233237.6	5	5	0.6160677820997946
ENSG00000233008.5	5	3	0.5275752690514168
ENSG00000224660.1	3	9	0.010495763409033663
ENSG00000242125.3	3	9	0.016974026516512492
ENSG00000225554.1	2	4	0.014171949105241301
ENSG00000226688.6	12	9	0.36145561749764554
ENSG00000229656.6	2	2	0.00717992602644779
ENSG00000224078.13	23	9	0.328610009630664
ENSG00000226674.8	25	3	0.4066418443889586
ENSG00000225470.7	13	9	0.20113020014578017
ENSG00000233016.6	4	9	0.03205032443192426
ENSG00000231185.6	6	2	0.08521665414831464
ENSG00000228109.1	5	5	0.07119512582199228
ENSG00000234753.5	5	3	0.537112953622516
ENSG00000213742.6	6	9	0.2097205520178131
ENSG00000236780.5	3	2	0.13366998018364468
ENSG00000235597.1	4	3	0.02281679765807612
ENSG00000237654.5	3	3	0.10345732494872946
ENSG00000225746.9	20	4	0.2489756837236965
ENSG00000281404.1	2	4	0.006440089240029172
ENSG00000242086.8	84	9	0.1549163092678522
ENSG00000215424.9	9	8	0.36327782759377153
ENSG00000225377.5	2	9	0.19444860757614046
ENSG00000177640.15	6	6	0.38345243895049347
ENSG00000227543.4	5	4	0.20201444328578577
ENSG00000229694.6	4	6	0.4628922657889717
ENSG00000223749.9	5	2	0.009840243389841175
ENSG00000234456.7	22	9	0.24493256781031142
ENSG00000228192.7	4	6	0.1574976479722744
ENSG00000236283.4	9	4	0.22766320883427596
ENSG00000226312.7	10	5	0.19241193497022463
ENSG00000227070.1	2	2	0.048049943127848646
ENSG00000235903.7	4	4	0.2610364095117463
ENSG00000233223.2	4	9	0.10184915942801692
ENSG00000227218.7	5	2	0.03067410794737431
ENSG00000230212.6	2	3	0.015226189601489172
ENSG00000237484.5	3	4	0.06398240511318826
ENSG00000231057.3	3	3	0.040894778313469986
ENSG00000223960.6	7	9	0.06046251465220365
ENSG00000237773.5	5	8	0.3958295391763265
ENSG00000228794.8	14	9	0.03228034619185531
ENSG00000232613.6	2	2	0.011201166340585213
ENSG00000237870.6	2	4	0.0
ENSG00000236540.7	4	9	0.2189019038090962
ENSG00000237126.8	5	2	0.14486724500711565
ENSG00000223884.5	2	2	0.2540627700656512
ENSG00000234678.1	2	2	0.00727860400287585
ENSG00000231999.6	4	7	0.24166421685451406
ENSG00000225383.7	5	7	0.6399200473490507
ENSG00000228649.8	3	5	0.0817277872062605
ENSG00000232520.1	3	2	0.004969783593638328
ENSG00000225670.4	2	2	0.0
ENSG00000224897.6	5	6	0.2536337838535024
ENSG00000226891.7	7	6	0.10191220722516006
ENSG00000224116.6	3	3	0.06993372034680043
ENSG00000225742.5	2	2	0.021153104632649807
ENSG00000230417.11	14	4	0.5550950671069548
ENSG00000226696.5	3	9	0.1538289350472683
ENSG00000225205.5	5	4	0.08779765379237572
ENSG00000227456.7	6	2	0.013735744894049124
ENSG00000225953.2	4	2	0.5642856516071224
ENSG00000241990.5	3	9	0.05438341418271448
ENSG00000237940.3	4	2	0.09709402329170985
ENSG00000236753.5	6	9	0.048023729481952486
ENSG00000233461.5	5	9	0.0978478448843417
ENSG00000229980.4	4	8	0.0688356031975883
ENSG00000229807.10	8	6	0.3113136230728811
ENSG00000234281.5	3	2	0.037018622068861674
ENSG00000223546.6	5	2	0.14920016391671112
ENSG00000226051.6	7	3	0.3633429265843894
ENSG00000231407.5	4	2	0.41067328023218563
ENSG00000242282.6	5	9	0.33640310504297705
ENSG00000227533.5	2	4	0.004636245903956837
ENSG00000224924.6	5	3	0.01833472264244588
ENSG00000218510.6	7	9	0.07245897401306092
ENSG00000235314.1	2	8	0.036918844872251555
ENSG00000236404.8	4	5	0.5115250065742293
ENSG00000238164.6	6	2	0.07191756293287946
ENSG00000238142.1	3	9	0.15004816033925822
ENSG00000234722.3	3	2	0.0
ENSG00000225472.1	2	5	0.008873796184014314
ENSG00000231721.6	8	9	0.290772219567484
ENSG00000226853.2	3	9	0.060593730062388
ENSG00000233864.7	3	8	0.335872164698879
ENSG00000244625.5	9	9	0.156502458250401
ENSG00000228288.6	3	7	0.06315544049432334
ENSG00000233937.6	5	9	0.13256831959954385
ENSG00000237037.9	12	9	0.5710755127316792
ENSG00000235954.6	17	9	0.30695349973074065
ENSG00000224177.6	3	2	0.026964830531928646
ENSG00000212978.6	4	9	0.026520060376375557
ENSG00000233230.1	3	9	0.07579444208946141
ENSG00000225733.5	5	9	0.0444650175658451
ENSG00000231920.1	2	3	0.13145846049688342
ENSG00000224958.5	2	5	0.18407426626029122
ENSG00000237298.9	49	9	0.914382854550277
ENSG00000173811.10	2	3	0.0
ENSG00000233392.5	3	2	0.008267897261700506
ENSG00000230798.5	4	2	0.12391231708028584
ENSG00000233521.5	2	2	0.022190189372707142
ENSG00000272734.1	4	6	0.11621655750470775
ENSG00000226471.6	5	9	0.21714642156249542
ENSG00000233117.2	3	5	0.15352225515629717
ENSG00000235535.7	12	3	0.4607869029722712
ENSG00000226380.9	3	5	0.02949969580933348
ENSG00000238005.2	5	2	0.2252042506985279
ENSG00000237928.5	3	6	0.3805361863611658
ENSG00000226266.6	3	7	0.08609115460315189
ENSG00000270087.5	2	4	0.05189915827094588
ENSG00000224870.6	5	9	0.10037916790288917
ENSG00000236013.5	2	3	0.007678805442058762
ENSG00000232310.6	3	6	0.3042137599873335
ENSG00000223387.6	3	2	0.0
ENSG00000230590.8	15	9	0.10247541842968252
ENSG00000228203.6	5	3	0.04148174147182565
ENSG00000225683.5	5	2	0.023678324180234737
ENSG00000225083.1	2	3	0.025561711614850588
ENSG00000238217.5	3	2	0.06347730010464187
ENSG00000227953.6	4	4	0.2793267193638212
ENSG00000236502.1	2	2	0.019979694528411873
ENSG00000225465.8	2	3	0.0014540823310231162
ENSG00000224023.10	4	9	0.23630918316515603
ENSG00000226822.2	4	2	0.02297510577061113
ENSG00000231770.5	3	9	0.015367878678264326
ENSG00000228265.5	3	8	0.1403329877660697
ENSG00000237819.5	4	2	0.0819552423540632
ENSG00000225484.6	13	9	0.1393419328572874
ENSG00000236017.8	5	8	0.1498643981731197
ENSG00000231890.7	13	4	0.5213406791696256
ENSG00000226026.5	2	7	0.006440089240029172
ENSG00000239665.8	28	9	0.18470377668758486
ENSG00000226791.6	4	2	0.004888496651508078
ENSG00000250303.3	5	9	0.18032865954160734
ENSG00000234380.1	2	4	0.02140490948523808
ENSG00000244558.5	4	5	0.67566583302041
ENSG00000229017.6	2	2	0.00838384879798188
ENSG00000230910.2	3	7	0.1194275127695409
ENSG00000227373.5	3	3	0.21662992823684293
ENSG00000226091.7	7	6	0.4359881583937387
ENSG00000259974.2	2	2	0.000974463549436811
ENSG00000224843.6	4	6	0.34823104803895477
ENSG00000227110.6	6	3	0.03140339179603779
ENSG00000229267.2	2	5	0.06369222503254157
ENSG00000236671.7	3	2	0.19688609239929636
ENSG00000235033.7	6	4	0.19591095615821097
ENSG00000236255.1	3	5	0.29291420191753326
ENSG00000228106.5	11	9	0.1333034870694509
ENSG00000232656.7	4	6	0.07403829166695367
ENSG00000226434.1	2	2	0.008620776947238784
ENSG00000233483.2	3	6	0.2393306489935686
ENSG00000227946.1	2	9	0.00838384879798188
ENSG00000228857.2	2	5	0.0656900181174609
ENSG00000226007.2	3	6	0.47522956148159823
ENSG00000231889.7	10	9	0.32086341894966164
ENSG00000214870.8	6	5	0.09682291280739319
ENSG00000229388.1	2	7	0.0807421846001431
ENSG00000231683.6	5	4	0.13244229211789238
ENSG00000224957.5	2	2	0.004579359050126262
ENSG00000223797.5	4	9	0.16811331773584368
ENSG00000273018.5	12	6	0.35141850425002963
ENSG00000230102.7	11	3	0.16836794038713696
ENSG00000245556.2	2	9	0.02459129986788834
ENSG00000224397.5	4	5	0.717748479339332
ENSG00000238057.8	8	2	0.16393272367667527
ENSG00000230333.6	12	3	0.196536671382248
ENSG00000227906.7	8	3	0.038929847664481404
ENSG00000231768.1	2	3	0.021297251841207152
ENSG00000228340.5	9	5	0.24067136912499704
ENSG00000236673.5	2	3	0.0
ENSG00000229852.2	3	7	0.1144870392165092
ENSG00000231028.8	7	3	0.08681664740580547
ENSG00000231711.2	3	9	0.13594198949963562
ENSG00000229153.5	2	2	0.2312142453905811
ENSG00000228302.2	2	9	0.03773909068027519
ENSG00000230844.2	2	9	0.0
ENSG00000240240.8	3	4	0.011237491616306782
ENSG00000224165.5	6	9	0.17969918085877173
ENSG00000283913.1	2	2	0.0
ENSG00000228624.7	16	4	0.5468305941356204
ENSG00000224167.1	2	4	0.03331767922757651
ENSG00000237686.6	2	6	0.16615384177535958
ENSG00000236922.9	4	2	0.04502254482978103
ENSG00000214783.9	2	9	0.01750324669179628
ENSG00000232940.5	4	7	0.12389782052314807
ENSG00000234810.2	3	9	0.36078233713094954
ENSG00000230442.5	4	3	0.025484889192587255
ENSG00000228315.11	6	9	0.28114451698040727
ENSG00000233723.7	8	3	0.07066841641649516
ENSG00000249790.2	3	5	0.22491602633831076
ENSG00000236120.6	2	3	0.0
ENSG00000221817.9	12	9	0.1773761103608273
ENSG00000232104.3	3	6	0.030590205964055144
ENSG00000233901.5	4	8	0.2200105740445264
ENSG00000153363.12	4	9	0.18700901500528944
ENSG00000229931.1	2	2	0.0024369911369198673
ENSG00000236088.9	7	9	0.5040614654470474
ENSG00000231252.2	3	2	0.18049722009565583
ENSG00000233098.8	11	3	0.1360896109574033
ENSG00000234452.5	2	2	0.008986596006233603
ENSG00000225439.2	3	8	0.05842139141855117
ENSG00000237036.4	8	9	0.21286028482574834
ENSG00000228801.5	4	9	0.08012200242348022
ENSG00000232079.6	7	3	0.08772235881019425
ENSG00000224259.6	3	4	0.07703630367728725
ENSG00000256546.1	3	3	0.06730791411781151
ENSG00000233766.7	8	2	0.0741444546839492
ENSG00000233930.3	3	4	0.0042238480965661376
ENSG00000237054.9	2	3	0.0
ENSG00000237352.3	11	9	0.3878224456528581
ENSG00000234177.5	2	3	0.0138644231059133
ENSG00000238113.6	3	8	0.1736603259426651
ENSG00000232934.7	7	3	0.06028129090744661
ENSG00000233922.2	2	3	0.012008227856544937
ENSG00000237457.6	2	4	0.05775246293199987
ENSG00000185904.11	2	4	0.06436345095792333
ENSG00000225975.6	3	9	0.09306095022553726
ENSG00000233429.9	6	6	0.1636558894383061
ENSG00000230269.6	2	2	0.004068780094559299
ENSG00000225062.1	2	3	0.11044809994623643
ENSG00000205664.10	8	7	0.33772115860583235
ENSG00000237356.5	5	2	0.4865064259666139
ENSG00000231107.1	2	2	0.0
ENSG00000240291.1	2	9	0.23276914415471014
ENSG00000235016.1	2	2	0.0
ENSG00000234323.6	6	3	0.8926181984753229
ENSG00000239636.1	2	2	0.011201169134552937
ENSG00000237149.5	6	8	0.1329312572251966
ENSG00000225032.5	2	5	0.04047813622855749
ENSG00000228889.6	2	8	0.11708918238884122
ENSG00000223653.5	2	2	0.014435065957595597
ENSG00000231427.5	2	2	0.001570687348613575
ENSG00000235527.6	4	3	0.12983177448428868
ENSG00000236333.3	4	5	0.20881847012766022
ENSG00000272780.5	2	3	0.0
ENSG00000233554.5	2	9	0.01502006736444367
ENSG00000226328.6	3	9	0.054923319996528594
ENSG00000230454.1	2	3	0.16064106075532175
ENSG00000239467.5	2	9	0.016652823729663355
ENSG00000225335.3	2	9	0.27625897030671187
ENSG00000239407.5	2	2	0.0
ENSG00000228395.1	2	7	0.03492323128890042
ENSG00000234171.2	2	9	0.035023608736204984
ENSG00000237380.6	2	2	0.0022778538352334404
ENSG00000234362.5	2	3	0.030038735382065373
ENSG00000230943.1	2	2	0.002632145956588729
ENSG00000232995.7	9	9	0.2387351825342301
ENSG00000230530.1	2	3	0.01981192232454193
ENSG00000236810.5	2	9	0.022165311882746282
ENSG00000230623.4	4	3	0.06212153064991685
ENSG00000237742.6	3	5	0.1283519901160456
ENSG00000212694.8	11	9	0.18625898543720504
ENSG00000226833.5	3	7	0.06965478001834473
ENSG00000225177.5	4	9	0.1432249340447529
ENSG00000235478.4	2	3	0.006278355081176504
ENSG00000224592.5	2	2	0.0037306051256614167
ENSG00000234608.7	6	9	0.16484129729499286
ENSG00000229240.8	9	3	0.3078184161364471
ENSG00000226824.6	3	7	0.23835445555358808
ENSG00000233818.1	2	2	0.07661141833546142
ENSG00000224905.6	3	4	0.18808916254476038
ENSG00000224596.7	3	4	0.590862618023871
ENSG00000177788.5	2	5	0.05994490384740355
ENSG00000233221.6	2	2	0.0034476297163803307
ENSG00000227117.6	3	5	0.07691952334916652
ENSG00000223403.3	3	3	0.018091019846890176
ENSG00000224945.1	2	2	0.0067065994385028666
ENSG00000228061.5	3	3	0.1248883939504097
ENSG00000230513.1	3	9	0.04173650757908197
ENSG00000225339.3	4	6	0.12893670397948573
ENSG00000231764.8	4	2	0.017157653328226448
ENSG00000224790.2	2	6	0.04297387201134481
ENSG00000228016.1	3	3	0.017386254240538433
ENSG00000231187.2	2	9	0.4920812051599759
ENSG00000236790.5	4	3	0.0715981789939051
ENSG00000236871.7	2	2	0.146441863127112
ENSG00000239415.1	2	4	0.0639824069758334
ENSG00000231064.7	5	5	0.16909941081522153
ENSG00000223382.4	8	2	0.09452113309442675
ENSG00000227811.2	2	8	0.03445239000792935
ENSG00000277147.4	9	9	0.2580576766623171
ENSG00000229647.1	2	2	0.006442832313837084
ENSG00000227544.8	4	6	0.06471419941720792
ENSG00000227128.4	6	2	0.02668641220559949
ENSG00000225706.1	2	5	0.04653012255336371
ENSG00000230606.10	13	9	0.06331658342970053
ENSG00000231298.6	3	2	0.07010458479706341
ENSG00000237499.6	5	2	0.038773168416521515
ENSG00000232044.6	6	3	0.040955770925392224
ENSG00000226251.5	2	3	0.03666866965723346
ENSG00000236740.6	2	2	0.0
ENSG00000230615.6	13	5	0.4951429108892167
ENSG00000254929.6	2	9	0.025883025886565936
ENSG00000232485.2	3	4	0.40009947131644297
ENSG00000227388.2	2	4	0.014427162319326389
ENSG00000234506.5	2	2	0.031891732645198075
ENSG00000228412.7	7	2	0.5654305089650675
ENSG00000228701.1	2	9	0.08730569259792946
ENSG00000204685.6	3	7	0.08910879756852284
ENSG00000228791.7	7	4	0.2327525482333003
ENSG00000235026.5	2	3	0.015758894904768346
ENSG00000233334.3	3	3	0.059418894721391106
ENSG00000233251.7	3	8	0.07872386157749516
ENSG00000230368.2	2	2	0.0
ENSG00000235437.7	7	9	0.14493899310702102
ENSG00000230461.8	17	4	0.1477263650014127
ENSG00000228065.10	16	2	0.29591355419485277
ENSG00000249700.8	13	6	0.5253834879598519
ENSG00000248275.1	4	9	0.06433112205481073
ENSG00000229743.2	2	3	0.0037992490974260423
ENSG00000224046.1	2	9	0.22305991451425722
ENSG00000271860.6	8	2	0.05475450543747788
ENSG00000234840.1	2	3	0.0
ENSG00000228436.2	3	9	0.23720819078386013
ENSG00000233038.5	3	2	0.11495016487544901
ENSG00000225302.2	2	8	0.01687044738735035
ENSG00000231574.5	2	2	2.2017416533499142e-05
ENSG00000230084.5	3	8	0.019201453781256952
ENSG00000227060.6	2	2	0.00031853239001723623
ENSG00000233532.5	3	2	0.012591007718931367
ENSG00000227115.7	5	3	0.01162378117878599
ENSG00000223891.5	5	9	0.29528699020069477
ENSG00000233005.1	2	3	0.474144248682759
ENSG00000237595.3	2	2	0.03058053436862917
ENSG00000230148.8	4	5	0.08345875976437336
ENSG00000235706.7	4	9	0.25155181672957727
ENSG00000230337.1	2	6	0.03164895362444715
ENSG00000203709.11	4	9	0.01815819657557236
ENSG00000233593.8	7	9	0.4512374528018895
ENSG00000225434.2	3	4	0.06547088144719959
ENSG00000236008.1	2	9	0.01019366588945687
ENSG00000229797.1	2	2	0.0892007215576739
ENSG00000227403.1	2	2	0.0004904360368747137
ENSG00000175772.10	2	4	0.004392206019644094
ENSG00000232628.5	2	2	0.40409617150892607
ENSG00000234336.6	3	5	0.4250354892766029
ENSG00000236939.2	2	3	0.03556246970366749
ENSG00000231160.9	7	8	0.3266193479199059
ENSG00000229124.6	2	2	0.0004236227770672979
ENSG00000231769.2	2	7	0.08827929868439577
ENSG00000229896.2	2	3	0.012614139349991007
ENSG00000233058.1	2	6	0.21965228221045274
ENSG00000230487.7	7	9	0.31020268464295087
ENSG00000236208.1	2	3	0.0073110954842889615
ENSG00000230490.2	3	2	0.0975862221159107
ENSG00000249307.5	11	7	0.19549669288939947
ENSG00000203706.8	3	7	0.04569623983179712
ENSG00000180139.11	4	3	0.027045480361751948
ENSG00000231212.1	2	2	0.06436047815125781
ENSG00000230725.5	2	3	0.023937086804434734
ENSG00000231437.3	2	6	0.010495761546388514
ENSG00000223812.5	2	2	0.008563335187409345
ENSG00000235501.5	3	9	0.038413139371907074
ENSG00000225793.2	3	3	0.16314860335412212
ENSG00000234665.8	7	6	0.1508460416004579
ENSG00000226686.7	5	7	0.2910492293792001
ENSG00000228127.2	2	2	0.015585711045696685
ENSG00000228221.5	4	2	0.19399242786546733
ENSG00000236039.2	4	3	0.412824845137823
ENSG00000237813.3	2	3	0.14244740440323472
ENSG00000224914.3	2	5	0.034162641896285977
ENSG00000223485.2	3	4	0.22704164164289486
ENSG00000227071.1	2	3	0.0
