gene_id	switch_sig	padj_deseq2	padj_edger	gene_de_kw	gene_de_deseq2	gene_de_edger	visibility_kw	visibility_deseq2	visibility_edger
ENSG00000267757.4	False	6.3240591747459e-17	1.44493123594413e-16	True	True	True	gene_only	gene_only	gene_only
ENSG00000267040.6	True	1.0953574591601599e-43	4.61067743654086e-19	True	True	True	visible	visible	visible
ENSG00000267321.2	False	2.54114472477382e-13	1.62930142253745e-08	True	True	True	gene_only	gene_only	gene_only
ENSG00000268061.5	False	1.5539435445311e-10	3.96315922922853e-07	True	True	True	gene_only	gene_only	gene_only
ENSG00000268895.5	True	4.75674970155833e-33	1.24640834267925e-16	True	True	True	visible	visible	visible
ENSG00000232098.3	False	5.33826542493788e-10	1.91472294614996e-07	True	True	True	gene_only	gene_only	gene_only
ENSG00000236778.7	True	8.2858230904991e-06	0.0014716702371237	True	True	True	visible	visible	visible
ENSG00000227195.10	False	2.12842503494361e-15	1.94162884949453e-13	True	True	True	gene_only	gene_only	gene_only
ENSG00000269386.5	False	2.8925921647669398e-55	2.61210804910766e-21	True	True	True	gene_only	gene_only	gene_only
ENSG00000268388.5	False	3.21798473017122e-61	1.11549995402896e-26	True	True	True	gene_only	gene_only	gene_only
ENSG00000267858.5	False	0.0172421714567651	0.0317966408877151	True	True	True	gene_only	gene_only	gene_only
ENSG00000268119.5	True	3.41494335459056e-30	1.23787234493626e-20	True	True	True	visible	visible	visible
ENSG00000269352.1	False	2.0783377469128998e-23	4.53636998644259e-13	True	True	True	gene_only	gene_only	gene_only
ENSG00000269834.5	False	1.38539095934562e-26	2.11127030686684e-13	True	True	True	gene_only	gene_only	gene_only
ENSG00000269793.5	False	1.10150177439897e-59	8.7617725776817e-27	True	True	True	gene_only	gene_only	gene_only
ENSG00000229692.3	False	0.0010140916130264	0.0008081609571327	True	True	True	gene_only	gene_only	gene_only
ENSG00000268093.1	True	1.16086015018651e-23	1.9101060021782602e-14	True	True	True	visible	visible	visible
ENSG00000268362.5	False	3.3692310579840297e-13	3.8750827986734e-09	True	True	True	gene_only	gene_only	gene_only
ENSG00000269235.1	False	8.0849747506679e-62	1.0074816015097899e-28	True	True	True	gene_only	gene_only	gene_only
ENSG00000268751.1	False	1.42545570002488e-08	3.77439891162365e-07	False	True	True	none	gene_only	gene_only
ENSG00000269439.5	True	1.1206472244053e-26	3.15865520936332e-14	True	True	True	visible	visible	visible
ENSG00000268027.5	False	6.56866816836143e-31	6.61363828044891e-19	True	True	True	gene_only	gene_only	gene_only
ENSG00000268401.1	True	1.35413276247213e-27	3.23861607490922e-18	True	True	True	visible	visible	visible
ENSG00000268006.1	False	1.2198965385464e-34	9.616874718055239e-18	True	True	True	gene_only	gene_only	gene_only
ENSG00000268654.1	False	2.10856845936975e-36	4.33016296421903e-16	False	True	True	none	gene_only	gene_only
ENSG00000268189.2	False	1.43255929028293e-05	0.000117306636591	True	True	True	gene_only	gene_only	gene_only
ENSG00000267871.5	False	8.62769644418606e-29	9.52618688805896e-17	True	True	True	gene_only	gene_only	gene_only
ENSG00000268230.5	False	4.98636700864903e-25	1.69593321029456e-17	True	True	True	gene_only	gene_only	gene_only
ENSG00000268355.1	True	1.6669063046519e-16	8.161482303226921e-14	True	True	True	visible	visible	visible
ENSG00000269293.2	False	5.001097978157759e-28	8.92139253392079e-15	True	True	True	gene_only	gene_only	gene_only
ENSG00000269985.1	False	7.898114267312149e-83	2.178615132764e-31	True	True	True	gene_only	gene_only	gene_only
ENSG00000270111.2	True	2.98714518267925e-11	8.43189847355183e-25	False	True	True	silent	visible	visible
ENSG00000270112.3	True	9.161780098164121e-19	6.85709330137695e-14	True	True	True	visible	visible	visible
ENSG00000270091.1	False	1.74115730703223e-18	5.0522868796967704e-14	True	True	True	gene_only	gene_only	gene_only
ENSG00000269893.6	True	2.30543050242985e-20	1.52164175744283e-10	True	True	True	visible	visible	visible
ENSG00000270069.1	False	4.56298541192975e-66	1.19003281163182e-28	True	True	True	gene_only	gene_only	gene_only
ENSG00000270049.2	True	1.86817876245054e-12	6.74797456417e-08	True	True	True	visible	visible	visible
ENSG00000271133.5	False	1.07838792679117e-14	3.83588145633223e-11	True	True	True	gene_only	gene_only	gene_only
ENSG00000271335.5	True	7.8453379911255e-10	5.87121124352537e-08	True	True	True	visible	visible	visible
ENSG00000270332.1	True	1.56225304684378e-13	6.839459277588161e-09	True	True	True	visible	visible	visible
ENSG00000271334.5	False	6.28679971050159e-28	2.7582032126154e-19	False	True	True	none	gene_only	gene_only
ENSG00000271109.1	False	5.54398023249658e-44	2.1250184549605497e-22	True	True	True	gene_only	gene_only	gene_only
ENSG00000271270.5	True	2.40783458789175e-13	3.24687148496e-10	True	True	True	visible	visible	visible
ENSG00000271538.5	False	4.4064501660758e-08	4.6440837025269e-09	True	True	True	gene_only	gene_only	gene_only
ENSG00000270547.5	False	2.97397013629401e-10	7.95830808050281e-13	False	True	True	none	gene_only	gene_only
ENSG00000272146.5	False	2.0886048041469e-22	2.92128125075929e-13	True	True	True	gene_only	gene_only	gene_only
ENSG00000271858.5	False	7.3383664383951e-09	3.96380396719884e-10	True	True	True	gene_only	gene_only	gene_only
ENSG00000271826.5	False	1.51854330518525e-08	4.7634343681422e-08	False	True	True	none	gene_only	gene_only
ENSG00000271913.5	True	5.56300277721572e-05	0.0001603870295148	True	True	True	visible	visible	visible
ENSG00000272288.5	True	3.87552958445914e-16	5.19968547530802e-11	True	True	True	visible	visible	visible
ENSG00000272097.1	False	0.0017682233749984	0.0004178241164132	False	True	True	none	gene_only	gene_only
ENSG00000272070.1	False	1.41666092646337e-08	8.49957009481418e-07	True	True	True	gene_only	gene_only	gene_only
ENSG00000271848.1	False	1.5908741532669899e-12	4.22167795276905e-10	False	True	True	none	gene_only	gene_only
ENSG00000272142.1	False	1.88705061826562e-47	3.3440972301653603e-20	True	True	True	gene_only	gene_only	gene_only
ENSG00000272138.1	True	1.89428633554244e-05	1.68648349616951e-05	True	True	True	visible	visible	visible
ENSG00000273297.1	True	8.99210324002281e-21	9.9321913422577e-14	True	True	True	visible	visible	visible
ENSG00000273143.1	True	3.5305513160086804e-31	3.3956962699750603e-23	True	True	True	visible	visible	visible
ENSG00000273061.1	False	0.0001174196145012	0.0004055902119978	True	True	True	gene_only	gene_only	gene_only
ENSG00000272758.5	False	4.44529721811569e-18	1.9077850375360204e-09	True	True	True	gene_only	gene_only	gene_only
ENSG00000272690.5	False	0.009831209898925	0.0149030958082036	True	True	True	gene_only	gene_only	gene_only
ENSG00000273247.5	False	9.769093258956099e-42	4.47689781740318e-17	True	True	True	gene_only	gene_only	gene_only
ENSG00000272599.2	False	0.0395050901355586	0.0235019149072422	False	True	True	none	gene_only	gene_only
ENSG00000273492.5	False	7.46241899684688e-46	3.93072337039078e-21	True	True	True	gene_only	gene_only	gene_only
ENSG00000273356.1	False	4.28392467008846e-13	1.8362313459957202e-09	False	True	True	none	gene_only	gene_only
ENSG00000272702.1	True	1.01971855066773e-23	3.14846457314424e-12	True	True	True	visible	visible	visible
ENSG00000272870.1	False	2.6371798143780298e-18	2.91877691445562e-12	True	True	True	gene_only	gene_only	gene_only
ENSG00000272894.5	False	5.31114534861957e-43	3.52747450727359e-20	True	True	True	gene_only	gene_only	gene_only
ENSG00000272568.5	False	1.26612814118129e-07	6.1414665477591e-10	False	True	True	none	gene_only	gene_only
ENSG00000272693.3	False	1.14492544537615e-38	1.64278858130154e-18	True	True	True	gene_only	gene_only	gene_only
ENSG00000272677.1	False	2.06579827967899e-29	5.65694346982314e-13	True	True	True	gene_only	gene_only	gene_only
ENSG00000231728.3	False	1.42874601802842e-06	3.15377129357331e-06	True	True	True	gene_only	gene_only	gene_only
ENSG00000275294.4	True	1.40998603458438e-08	1.0228938442876e-07	False	True	True	silent	visible	visible
