gene_id	lnc_isi	gene_de	switch_sig	visibility	n_expr	small_perm
ENSG00000253773.2	0.3334060553981051	False	False	none	11	False
ENSG00000254109.5	0.09482950493508178	True	False	gene_only	25	False
ENSG00000253552.7	0.17225695386455728	True	True	visible	16	False
ENSG00000253230.8	0.02603149124361983	True	False	gene_only	19	False
ENSG00000253764.1	0.004998695044726165	False	False	none	8	True
ENSG00000253549.5	0.11447674680954932	True	False	gene_only	31	False
ENSG00000253686.1	0.09260785138015205	True	False	gene_only	13	False
ENSG00000253426.5	0.01856465338103016	True	False	gene_only	28	False
ENSG00000167912.5	0.1689152657455295	True	True	visible	37	False
ENSG00000253210.1	0.03452008425029694	False	False	none	21	False
ENSG00000253982.1	0.17760550923954846	True	True	visible	68	False
ENSG00000253661.1	0.10357858314150153	True	True	visible	23	False
ENSG00000273345.5	0.25741567717138136	True	True	visible	47	False
ENSG00000254235.5	0.6045139075676368	True	True	visible	10	False
ENSG00000253123.3	0.02926342338272211	False	False	none	10	False
ENSG00000204758.7	0.04338444224355996	False	False	none	20	False
ENSG00000253352.8	0.026461438984718425	True	True	visible	67	False
ENSG00000253214.1	0.03007117975523188	False	False	none	17	False
ENSG00000253633.1	0.0007310213202667178	False	False	none	11	False
ENSG00000253187.2	0.07387093213226134	True	True	visible	16	False
ENSG00000253807.5	0.07142362542034325	True	True	visible	33	False
ENSG00000253161.5	0.049010903054099164	True	True	visible	11	False
ENSG00000253671.1	0.01930360942256913	True	False	gene_only	16	False
ENSG00000254211.5	0.029001907406900024	True	False	gene_only	28	False
ENSG00000245910.8	0.12448484254707315	True	True	visible	68	False
ENSG00000253389.2	0.07646696124766347	True	False	gene_only	26	False
ENSG00000254343.2	0.02946423472412075	True	False	gene_only	41	False
ENSG00000253559.1	0.08967296358398456	True	False	gene_only	19	False
ENSG00000254377.5	0.06250140400483423	False	False	none	19	False
ENSG00000253177.1	0.04374041388368241	False	False	none	14	False
ENSG00000254231.1	0.0701046028845467	False	False	none	6	True
ENSG00000254615.2	0.06523527452032005	True	True	visible	39	False
ENSG00000253642.5	0.08035214997008226	False	False	none	10	False
ENSG00000253738.1	0.15780461915189825	True	True	visible	67	False
ENSG00000253842.1	0.005477464726186505	False	False	none	14	False
ENSG00000254363.6	0.004919381333531916	False	False	none	9	True
ENSG00000253877.5	0.008737436971889424	True	False	gene_only	14	False
ENSG00000255248.7	0.5196120264231222	True	True	visible	63	False
ENSG00000254427.1	0.29123885585767234	True	False	gene_only	36	False
ENSG00000255328.1	0.090928310338392	False	False	none	32	False
ENSG00000255062.1	0.16902280355500926	True	True	visible	65	False
ENSG00000255026.1	0.0	False	False	none	10	False
ENSG00000254560.5	0.13328483571931055	False	False	none	8	True
ENSG00000196696.12	0.06441130204823041	True	False	gene_only	67	False
ENSG00000254860.5	0.017262162847656415	True	False	gene_only	31	False
ENSG00000177112.7	0.2664723550823641	True	True	visible	34	False
ENSG00000254489.1	0.0005962186358960762	False	False	none	7	True
ENSG00000255284.1	0.23957417937030157	True	True	visible	67	False
ENSG00000255435.6	0.10072926166644885	False	False	none	22	False
ENSG00000254510.1	0.049910315288513016	False	False	none	10	False
ENSG00000255121.2	0.04292066517882693	False	False	none	7	True
ENSG00000255129.5	0.04952615717935205	False	False	none	19	False
ENSG00000254614.2	0.06735992761001325	True	False	gene_only	41	False
ENSG00000230724.9	0.10520103195109484	False	True	silent	16	False
ENSG00000255458.5	0.08942859019589847	False	False	none	40	False
ENSG00000255031.5	0.05127532723961456	True	False	gene_only	16	False
ENSG00000255182.2	0.2701935446969992	True	False	gene_only	14	False
ENSG00000255517.6	0.07745260997815798	True	False	gene_only	66	False
ENSG00000254815.5	0.02864698473857172	True	False	gene_only	17	False
ENSG00000255197.5	0.15575706233611497	False	True	silent	17	False
ENSG00000254531.1	0.0055437308830322395	True	False	gene_only	64	False
ENSG00000204241.7	0.1381056511978019	True	False	gene_only	22	False
ENSG00000254635.5	0.018979564147466085	True	False	gene_only	67	False
ENSG00000254602.1	0.0	False	False	none	14	False
ENSG00000255545.7	0.11874443622108481	False	False	none	9	True
ENSG00000255399.3	0.042074992904349136	True	False	gene_only	31	False
ENSG00000260669.2	0.06168660651399431	True	False	gene_only	67	False
ENSG00000283341.1	0.04835637732930212	True	False	gene_only	34	False
ENSG00000215374.5	0.003450337788433469	False	False	none	9	True
ENSG00000254990.5	4.142960062693312e-05	True	False	gene_only	12	False
ENSG00000255234.5	0.0	True	False	gene_only	14	False
ENSG00000255135.3	0.034210140619537505	True	False	gene_only	66	False
ENSG00000255139.1	0.03930488533838343	False	False	none	15	False
ENSG00000255198.4	0.05670283465985702	True	True	visible	68	False
ENSG00000255468.6	0.5312556852142788	True	True	visible	45	False
ENSG00000175773.12	0.05850788019614281	False	False	none	15	False
ENSG00000258604.1	0.21734878752253523	True	True	visible	32	False
ENSG00000255363.2	0.015319667257315978	False	False	none	7	True
ENSG00000225138.7	0.058348801412613574	True	False	gene_only	43	False
ENSG00000256116.1	0.0	True	False	gene_only	19	False
ENSG00000256001.1	0.08419566513846927	True	False	gene_only	14	False
ENSG00000255693.1	0.024970366299446666	False	False	none	19	False
ENSG00000255717.6	0.07398265546081081	True	False	gene_only	68	False
ENSG00000255857.5	0.0823019994601635	True	True	visible	67	False
ENSG00000255650.5	0.004771387627827773	False	False	none	9	True
ENSG00000255571.8	0.09966743080572202	True	True	visible	22	False
ENSG00000256802.2	0.02422846301906413	True	False	gene_only	27	False
ENSG00000256540.1	0.09765185250666591	True	False	gene_only	24	False
ENSG00000256967.1	0.03943108679475717	True	False	gene_only	22	False
ENSG00000256654.3	0.1117124803750104	True	False	gene_only	18	False
ENSG00000256940.1	0.2375909043776392	True	True	visible	57	False
ENSG00000256508.2	0.028588264179412713	True	False	gene_only	22	False
ENSG00000256422.5	0.017275500717648246	True	False	gene_only	16	False
ENSG00000256008.2	0.02529603203276218	True	True	visible	18	False
ENSG00000256092.2	0.2063675157216396	True	False	gene_only	52	False
ENSG00000250988.7	0.11396166415207541	True	True	visible	67	False
ENSG00000255772.5	0.047609938847038985	False	False	none	21	False
ENSG00000257337.6	0.16152151105127288	True	True	visible	67	False
ENSG00000257698.1	0.02287178333548457	True	False	gene_only	68	False
ENSG00000257556.1	0.07164793347263118	True	False	gene_only	22	False
ENSG00000257242.7	0.6104758378023136	True	True	visible	17	False
ENSG00000257135.5	0.008054496837778993	False	False	none	6	True
ENSG00000258017.1	0.23990161774618196	True	False	gene_only	15	False
ENSG00000257913.2	0.15790402262842682	False	False	none	22	False
ENSG00000258325.2	0.17276010221301671	True	False	gene_only	43	False
ENSG00000257433.5	0.28639822000767723	True	False	gene_only	50	False
ENSG00000235884.3	0.04308189783552972	True	False	gene_only	18	False
ENSG00000257285.5	0.015086984847206782	True	False	gene_only	10	False
ENSG00000272368.2	0.03178241874745605	True	False	gene_only	66	False
ENSG00000258168.5	0.008133208899208325	True	False	gene_only	38	False
ENSG00000258297.1	0.0	True	False	gene_only	61	False
ENSG00000257595.2	0.1836567308771616	False	True	silent	10	False
ENSG00000258057.5	0.11818808974648917	True	False	gene_only	41	False
ENSG00000257252.5	0.05740851413987186	True	True	visible	20	False
ENSG00000257702.3	0.046744705341289494	True	False	gene_only	37	False
ENSG00000257599.1	0.09406105659366178	False	False	none	6	True
ENSG00000257815.5	0.05222585392363588	True	True	visible	67	False
ENSG00000257894.2	0.02563460760104828	True	False	gene_only	29	False
ENSG00000257303.1	0.003413250567331027	True	False	gene_only	67	False
ENSG00000257219.5	0.032488966235500405	False	False	none	24	False
ENSG00000257259.1	0.019339542050303915	False	False	none	15	False
ENSG00000257261.5	0.19971163460236957	True	True	visible	65	False
ENSG00000257621.7	0.1182377661635665	True	True	visible	67	False
ENSG00000257176.2	0.0619000575653763	True	False	gene_only	16	False
ENSG00000258702.1	6.610296301383487e-07	True	False	gene_only	11	False
ENSG00000259065.1	0.10153113692662563	True	False	gene_only	49	False
ENSG00000258867.5	0.17397770111353983	True	True	visible	11	False
ENSG00000258498.8	0.41344000553664445	False	True	silent	30	False
ENSG00000258733.5	0.09205873017688768	True	False	gene_only	14	False
ENSG00000258959.1	0.030117215712241432	True	False	gene_only	20	False
ENSG00000258458.5	0.21394881307725447	False	False	none	6	True
ENSG00000272888.5	0.2242998468518798	True	True	visible	67	False
ENSG00000258545.5	0.036215049447401684	True	False	gene_only	45	False
ENSG00000157306.14	0.25293963974727085	True	True	visible	47	False
ENSG00000259153.1	0.24469415298443753	True	True	visible	42	False
ENSG00000258301.3	0.02029444698619308	True	False	gene_only	27	False
ENSG00000258476.5	0.004534319051912639	True	False	gene_only	10	False
ENSG00000258584.1	0.06253882437243395	False	False	none	23	False
ENSG00000259146.3	0.010735828700426223	True	False	gene_only	38	False
ENSG00000258603.3	0.11962787717627922	True	False	gene_only	50	False
ENSG00000258561.1	0.02368298572521911	True	False	gene_only	23	False
ENSG00000258441.1	0.008383850660627029	True	False	gene_only	46	False
ENSG00000258752.1	0.06347515024374864	False	False	none	10	False
ENSG00000258819.1	0.06011183074647941	False	False	none	21	False
ENSG00000258754.7	0.07421654552726452	False	False	none	6	True
ENSG00000259118.5	0.0	True	False	gene_only	14	False
ENSG00000258580.1	0.002135305193260998	False	False	none	6	True
ENSG00000258910.2	0.16468786215364295	False	True	silent	13	False
ENSG00000259234.5	0.1698480854111159	False	False	none	6	True
ENSG00000259448.2	0.028677672481214347	True	False	gene_only	52	False
ENSG00000232386.9	0.05918466129649796	False	False	none	26	False
ENSG00000259370.2	0.006478603273884487	True	False	gene_only	48	False
ENSG00000259347.6	0.08385244815642673	True	True	visible	17	False
ENSG00000259772.6	0.34292250527444357	True	True	visible	11	False
